Depth,Inc,Azi,TVD,EW,NS,Dogleg
0,0,0,0,0,0,0
300,0.19,334.44,299.99945016586,-0.21461416771034,0.44873801350371,0.19000000000078
348.87,3.34,245.38,348.841661119633,-1.54413996120152,-0.071382262351286,3.34228027378716
373.5,5.95,234.7,373.389071693551,-3.23858520384407,-1.10816339023768,2.73847071161738
398.13,9.47,237.68,397.792667253085,-5.99361952972541,-2.92972778279163,3.5414573863305
422.96,12.48,240.26,422.165878676814,-10.0502676640351,-5.35327576109333,3.04907175092854
447.81,14.63,245.32,446.32313085898,-15.2340198693961,-7.99600671900484,2.45345654573111
472.67,17.02,244.69,470.239198233155,-21.3767310722533,-10.8627735572413,2.39613255240341
497.5,20.14,249.19,493.773362824386,-28.6598273010906,-13.9359216572677,3.43151865176241
522.04,22.75,251.41,516.612838797612,-37.1079414332938,-16.9500787325808,2.73285100266804
546.88,24.21,255.27,539.396817144519,-46.5872057859184,-19.7765770089631,2.11988946660014
571.48,26.49,259.05,561.628073441611,-56.8539047358907,-22.1016879681265,2.79497045396722
595.81,29.79,260.49,583.079499648375,-68.1452469028857,-24.1315348622839,3.3689393518945
620.41,33.46,261.07,604.022824198727,-80.876023065698,-26.1945908271484,3.68254137522705
644.32,35.49,261.09,623.732557769106,-94.2458220185164,-28.2929654241531,2.03003154280188
669.84,36.22,264.76,644.418852929952,-109.074537912221,-30.1291571163142,2.26989867639652
694.52,38.83,267.16,663.991624475341,-124.066842555007,-31.1786784714568,2.99110067584954
719.32,41.71,271.08,682.91528428935,-140.087227042834,-31.4084814327672,3.83488402180865
744.15,42.78,273.89,701.29775521571,-156.760864168992,-30.6806553762554,2.17094155574994
768.98,42.74,274.13,719.528053077295,-173.577373502935,-29.5017944288492,0.16778073339489
818.5,43.69,275.4,755.617982943476,-207.366312480708,-26.6819154568608,1.28788251240871
867.18,44.19,278,790.673622257512,-240.908527537923,-22.7381166623377,1.87205454204119
915.85,44.01,277.67,825.624861588592,-274.462288215644,-18.1207804047328,0.29178661215822
965.12,44.01,278.08,861.060832472892,-308.371313816143,-13.4305938504045,0.28486108803748
1014.1,43.45,276.66,896.45476492285,-341.947386600453,-9.08553790020535,1.13007132085508
1063.32,44.31,276.75,931.931872298736,-375.830549657484,-5.10197278174551,0.862259469968
1112.57,43.87,274.94,967.306911055831,-409.916743421639,-1.61041725863987,1.33398851048664
1161.36,43.29,274.34,1002.65100146089,-443.440181550577,1.11131089953543,0.71237238064569
1210.02,43.07,273.27,1038.13470120544,-476.663402180231,3.32154436295668,0.76452307439577
1258.78,42.69,271.94,1073.86575434771,-509.806927467761,4.83085796142704,0.98154240438026
1301.32,42.68,270.34,1105.13750679251,-538.639995268076,5.4046562288415,1.08477463534508
